id,Nome,Description
4016,Hush,"Sorcery developed by a certain surreptitious sorcerer at Vinheim Dragon School. Masks all noises of caster.  Effectively, Vinheim is controlled by the Dragon School, and it is no wonder that the town has its share of dark secrets."
4017,Aural Decoy,"Sorcery used by playful sorcerers. Lure enemies away by creating a sound originating in the distance.  This spell is not the first choice for serious sorcerers, but it has a surprising amount of applications, some of them extremely effective."
4018,Repair,"Ancient sorcery of the lost land of Oolacile. Repair equipped weapons and armor.  This sorcery was a part of everyday life in Oolacile. Its effects resemble Repair Powder, which must have found its way into the culture of this lost land."
4019,Fall Control,"Sorcery developed by a certain surreptitious sorcerer at Vinheim Dragon School. Reduce damage and noise from fall.  This sorcery, along with Hush, explains the extravagant cost of hiring Vinheim spooks."
4020,Chameleon,Ancient sorcery of the lost land of Oolacile. Transform into something inconspicuous.  A separate stealth spell from Hidden Body. A skilled stealth sorcerer must be aware of his or her surroundings and of which objects are prime candidates for imitation.
4021,Resist Curse,"Sorcery of the red-robed remedician Ingward, guardian of the seal in New Londo. Sacrifice humanity to undo curse.  Abhorrent curses eat away at the core of one's very existence, and cleansing oneself of curses is no easy task indeed."
4022,Remedy,"Sorcery of the red-robed Yulva, one of the Sealers of New Londo. Reduce bleeding and poison build-up, and undo various poisonous effects.  One of New Londo's unique healing sorceries. Perhaps she abandoned her Sealer duty to take her healing arts back to Blighttown."
4023,White Dragon Breath,"Sorcery developed by Logan during his infatuation with Seath the Scaleless. Emit crystal breath of Seath the Scaleless.  Although it no longer causes curses, what madness caused old Big Hat to appropriate this frightful power of the ancient dragons?"
4024,Dark Orb,"Abyss sorcery discovered by an Oolacile sorcerer on the brink of madness. Fire giant Dark Orb. In contrast to standard soul sorceries, Abyss sorceries are weighty and inflict physical damage. Perhaps human souls, because of their humanity, produce sorceries with more tangible presence."
4025,Dark Bead,"Abyss sorcery discovered by an Oolacile sorcerer on the brink of madness. Fire successive Dark Orbs.  In contrast to standard soul sorceries, Abyss sorceries are weighty and inflict physical damage. Perhaps a human soul is closer to matter in its humanity."
4026,Dark Fog,"Abyss sorcery discovered by an Oolacile sorcerer on the brink of madness. Create a cloud of Dark Fog.  Although Dark Fog is, in theory, relatively close to humanity, it also happens to be a terrible poison for humans. Perhaps it reflects man's cruelty against his own."
4027,Pursuers,"Sorcery of Manus, Father of the Abyss. Grant a fleeting will to the Dark of humanity, and volley the result.  The will feels envy, or perhaps love, and despite the inevitably trite and tragic ending, the will sees no alternative, and is driven madly toward its target."
4028,Fireball,"Standard pyromancy of the Great Swamp. Hurl fireball.  The fire damage caused by fireballs makes them effective against corporeal beasts and Undead, who by nature fear flame."
4029,Fire Orb,"Pyromancy which improves upon Fireball. Hurl fire orb.  The flaming fire orb explodes upon impact, causing fire splash damage in a spectacle which seems to symbolize the strength of the fire-manipulating pyromancers."
4030,Great Fireball,"Ultimate fireball pyromancy. Hurl giant fireball.  Salaman the Master Pyromancer, also called the Great Fireball after this spell, believed pyromancy was rooted in an adoration of fire. Those who acquire this spell usually agree."
4031,Firestorm,"Primal pyromancy taught by Quelana of Izalith. Erect fire pillars in vicinity.  The storm of flame is indiscriminate, and incinerates all nearby life."
4032,Fire Tempest,Primal pyromancy of Quelana of Izalith. Erect giant fire pillars in vicinity.  The tempestuous raging flames resemble those summoned by the Daughters of Chaos when they challenged the ancient dragons and scorched the very earth.
4033,Fire Surge,"Pyromancy foreign to the Great Swamp. Create a surge of flame from palm of hand.  Not all pyromancy originates in the Great Swamp. One hears rumors of unknown pyromancers inhabiting various lands, and this spell is the work of one such outlander."
4034,Fire Whip,"Primal pyromancy taught by Quelana of Izalith. Sweep foes with fire whip.  The root pyromancy of Combustion, but much more difficult to wield."
4035,Combustion,"Elementary pyromancy. Create powerful flame in hand.  One of the most basic pyromancies. For this very reason, the flame thus created is fierce."
4036,Great Combustion,"Pyromancy which improves upon Combustion. Create powerful, giant flame in hand.  Great Combustion creates a powerful flame, but many sorcerers mock the simplicity of this spell."
4037,Poison Mist,"Unique pyromancy crafted by Eingyi, considered a heretic even at the Great Swamp. Create poison mist.  Eingyi became an egg-bearing Undead who serves a deformed young girl who speaks an unintelligible tongue."
4038,Toxic Mist,"Unique pyromancy crafted by Eingyi, considered a heretic even at the Great Swamp. Create intense poison mist.  Why was Eingyi driven from the Great Swamp? One only need cast this pyromancy, a perverse diversion from the art of fire, to find out."
4039,Acid Surge,"Pyromancy foreign to the Great Swamp. Emit acid which corrodes weapons and armor.  Not all pyromancy originates in the Great Swamp. One hears rumors of unknown pyromancers inhabiting various lands, and this spell is the work of one such outlander."
4040,Iron Flesh,"Pyromancy of Carmina, who harnessed the power of flame to actualize the inner-self. Iron flesh boosts defense and resilience.  Use of this pyromancy requires caution, as the caster becomes exceedingly heavy and unable to move freely."
4041,Flash Sweat,"Pyromancy of Carmina, who harnessed the power of flame to actualize the inner-self. Intense sweating reduces flame damage.  Carmina, the most accomplished pupil of Salaman the Master Pyromancer, pioneered new directions for the art of pyromancy."
4042,Undead Rapport,"Advanced pyromancy of Quelana of Izalith. Charm Undead and gain temporary allies.  The living are lured by flame, and this relationship is part and parcel to the art of pyromancy. Can be used by either gender."
4043,Power Within,"Pyromancy of Carmina, who harnessed the power of flame to actualize the inner-self. Short strength/endurance boost, but lose HP.  Excessive power eats away the life-force of its caster, and like all dangerous spells, Power Within was kept secret for eons."
4044,Great Chaos Fireball,"Art of the Flame of Chaos, which engulfed the Witch of Izalith and her daughters. Hurl a giant chaos fireball.  The Flame of Chaos can melt stone, producing a short-lived lava glob."
4045,Chaos Storm,"Art of the Flame of Chaos, which engulfed the Witch of Izalith and her daughters. Erect localized chaos fire pillars.  The Witch of Izalith, in an ambitious attempt to copy the First Flame, created instead the Flame of Chaos, a twisted bed of life."
4046,Chaos Fire Whip,"Art of the Flame of Chaos, which engulfed the Witch of Izalith and her daughters. Sweep foes with chaos fire whip.  The fire whip was wielded by the eldest of the Daughters of Chaos."
4047,Black Flame,"A pyromancy discovered from the Dark of the Abyss by a pyromancer who wandered into Oolacile. Conjure a great black flame in one's palm.  Black flames are weighty, and inflict physical damage, enough to smack away the mightiest of shields."
4048,Heal,"Elementary miracle cast by clerics. Restores HP.  To cast a miracle, the caster learns a tale of the Gods, and says a prayer to be blessed by its revelations. Heal is the shortest of such miraculous tales."
4049,Great Heal,"Great miracle cast by advanced clerics. Restores high HP.  Great Heal is a long tale, only learned by a select few. No caster will be disappointed by the bountiful life that it yields."
4050,Great Heal Excerpt,"Great miracle cast by advanced clerics. Restores high HP.  Great Heal Excerpt borrows from only several verses of Great Heal. As a result, it can only be cast a stark few times."
4051,Soothing Sunlight,"Special miracle granted to the maidens of Gwynevere, Princess of the Sun. Restores high HP for self and vicinity.  The miracles of Gwynevere, the princess  cherished by all, grant their blessing to a great many warriors."
4052,Replenishment,"Common miracle amongst cleric knights. Gradual HP restoration.  Beware of the cleric knight blessed by Replenishment, for he shall not fall easily."
4053,Bountiful Sunlight,"Special miracle granted to the maidens of Gwynevere, Princess of the Sun. Gradual HP restoration for self and vicinity.  The miracles of Gwynevere, the princess  cherished by all, grant their blessing to a great many warriors."
4054,Gravelord Sword Dance,"Miracle known only by the servants of the first dead, Gravelord Nito. Giant Gravelord swords jut out in vicinity.  Nito sleeps deep within the Tomb of Giants, quietly overseeing all death, and waiting for his servants to usher in the Eye of Death."
4055,Gravelord Greatsword Dance,"Miracle known only by the servants of the first dead, Gravelord Nito. Giant Gravelord swords jut out in vicinity.  Many have died, and many eyes were claimed to realize the Greatsword Dance, a Gravelord ritual known only by his closest servants."
4056,Homeward,"Great miracle cast by advanced clerics. Return to last bonfire rested at.  Would normally link to one's homeland, only the curse of the Undead has distorted its power, redirecting casters to a bonfire. Or perhaps for Undead, this serves as home?"
4057,Force,"Common miracle amongst cleric knights. Create shockwave.  This quickly-acting miracle inflicts no damage, but propels foes back and defends against arrows. Cleric knights use this miracle when charging into enemy mobs."
4058,Wrath of the Gods,Primal form of Force. Create powerful shockwave.  Wrath of the Gods was an epic tale that tattered over time and devolved into the modern Force. This primal form of Force emits a shockwave that also inflicts damage.
4059,Emit Force,"Outland miracle, foreign to the Way of White. Emit shockwave.  Considered an alternate branching of Force. Emits an expanding shockwave orb."
4060,Seek Guidance,"Miracle of clerics on an Undead mission. Display more guidance from other worlds.  Guidance facilitates communication between Undead, but their value varies greatly. A balance of faith and wisdom is required."
4061,Lightning Spear,"Miracle passed down to those bound by the Warrior of Sunlight covenant. Hurl lightning spear.  Lightning spears inflict rare lightning damage, and are very effective against magic, fire, and most of all, dragons."
4062,Great Lightning Spear,"Miracle passed down to those bound by the Warrior of Sunlight covenant. Hurl giant lightning spear.  The weapon of the God of War, who inherited the sunlight of Lord Gwyn, but had respect only for arms, and nothing else."
4063,Sunlight Spear,"Miracle born from the fading soul of Gwyn. Hurl sunlight spear.  In the war that marked the dawn of the Age of Fire, Gwyn wielded these rays of sunlight, which remain fierce even as they fade."
4064,Magic Barrier,"Miracle of Bishop Havel the Rock. Cover body in defensive magic coating.  This coating greatly boosts magic defense, assisting warriors who must face the magic which Bishop Havel countered so proficiently."
4065,Great Magic Barrier,"Miracle of Bishop Havel the Rock. Cover body in powerful def. magic coating.  Havel the Rock, an old battlefield compatriot of Lord Gwyn, was the sworn enemy of Seath the Scaleless. He despised magic, and made certain to devise means of counteraction."
4066,Karmic Justice,"Miracle of the black-haired witch Velka. Temporary auto counter vs. heavy damage.  For each sin there is a punishment, and it is the task of Goddess Velka to define the sin, and mete out the punishment."
4067,Tranquil Walk of Peace,"Outland miracle, foreign to the Way of White. Slows all walking within effect area.  This miracle is normally used to flee, as it slows walking but does not affect attacks, but nevertheless defines peace perfectly."
4068,Vow of Silence,"Secret rite of the black-haired witch Velka. Prevents casting of magic within effect area.  Velka, the Goddess of Sin, is a rogue deity, but she is versed in arts both new and old, and is considered to have a great range of influence even as gods are concerned."
4069,Sunlight Blade,"Miracle wielded by Lord Gwyn's firstborn. Boost right weapon with rays of Sun.  The power of sunlight, manifested as lightning, is very effective against dragons. When the eldest son was stripped of his deific status, he left this on his father's coffin, perhaps as a final farewell."
4070,Darkmoon Blade,"Miracle granted to those bound by covenant to Gwyndolin, Lord Gwyn's lastborn. Boost right weapon with rays of Darkmoon.  The power of the rays of the Darkmoon are manifested in vengeance, and the deeper the animus, the more devastating the attack."
5000,White Sign Soapstone,"Online play item. Leave summon sign.  Be summoned to another world as a phantom through your sign, and defeat the area boss to acquire humanity. (Hollows cannot conduct summons)  In Lordran, the flow of time is distorted, and the White Sign Soapstone allows Undead to assist one another."
5001,Red Sign Soapstone,"Online play item. Leave invasion sign. (Hollows cannot use the item)  Be summoned to another world as a dark spirit, and defeat the summoner to acquire humanity. Certain Darkwraiths resist their descent into dark and persevere along the honorable path. The Red Sign Soapstone is for them."
5002,Red Eye Orb,Online play item. Invade another world. (Only Covenanter can use the item while Hollows cannot)  Defeat the master of the world you have invaded to acquire humanity.  The Darkwraiths of Kaathe use this orb to seek humanity and plunge further into dark. Perhaps they are more human than we?
5003,Black Separation Crystal,"This black crystal, long a symbol of farewell, is granted to banished Undead. The crystal sends phantoms back to their homes, or sends you back to yours.  Beware of fickle use of this item if you intend to nurture relations."
5004,Orange Guidance Soapstone,"Online play item. Write/view/rate message.  Messages transmit to other worlds, where they are rated. Also, rate messages of others.  In Lordran, the flow of time is distorted, and messages allow Undead to assist (or deceive) one another."
5005,Book of the Guilty,"Online play item. Check list of indicted players.  The Goddess of Sin Velka oversees this list of the guilty, who have disrespected the Gods or their covenants, and shall one day face the wrath of the Blades of the Darkmoon."
5006,Eye of Death,"Online play item. Lure phantoms from other worlds. (Only Covenanter can use the item while Hollows cannot)  The dreadful Eyes of Death spread disaster across neighboring worlds. Phantoms lured to the host world may end up as victims, allowing the Eyes of Death to multiply, and leading to further proliferation of bane."
5007,Cracked Red Eye Orb,Online play item. Invade another world. (Hollows cannot use the item)  Defeat the master of the world you have invaded to acquire humanity.  The Cracked Red Eye Orb allows players to temporarily imitate this ability normally limited to the Darkwraiths of Kaathe.
5008,Servant Roster,"Online play item. Check servants of the Daughters of Chaos.  Egg-bearer Eingyi keeps this roster of those who serve his master, a Daughter of Chaos. Eingyi praises those who offer significant humanity to alleviate his master's suffering.  But what is praise from Eingyi really worth?"
5009,Blue Eye Orb,"Online play item. Invade world of player in Book of the Guilty. Subdue player to acquire Souvenir of Reprisal. (Only Covenanter can use the item)  These mystical orbs are granted to Blades of the Darkmoon, knights who serve the Dark Sun Gwyndolin, so that they may serve the Gods in meting out vengeance."
5010,Dragon Eye,"Online play item. Find a player who has acquired a Dragon Scale and invade that player's world to pillage it. (Only Covenanter can use the item)  An art of the transcendent apostles who pray to the ancient dragons. To be alive is to be vulnerable, and the fiery Gods are no exception. The apostles seek another plane of existence, which transcends life."
5011,Black Eye Orb,"Mystical orb found on a Keeper's corpse.  Invade the world of the murderer of a  Fire Keeper, to defeat the perpetrator and reclaim the soul of the Fire Keeper.  The Black Eye keeps constant watch on the city of the Gods, Anor Londo."
5012,Darksign,"The Darksign signifies an accursed Undead. Those branded with it are reborn after death, but will one day lose their mind and go Hollow.  Death triggers the Darksign, which returns its bearer to the last bonfire rested at, but at the cost of all humanity and souls."
5013,Purple Coward's Crystal,"Online play item. Quit Battle of Stoicism. (Session ends if host leaves)  Victory in this battle once led to ancient Anor Londo, but even in the absence of its overseer, capitulation is a disgrace. In the name of a warrior's honor, do not quickly resort to use of this crystal."
5014,Estus Flask,"The Undead treasure these dull green flasks. Fill with Estus at bonfire. Fills HP.  The Estus Flasks are linked to the Fire Keepers. The Dark Tales also make reference:     An emerald flask, from the Keeper's soul    She lives to protect the flame,    And dies to protect it further"
5015,Silver Pendant,"Silver pendant engraved with the crest of Artorias.  One of the ancient treasures of Anor Londo. Presented to Artorias for facing the Abyss.  Effectively deflects the Dark of the Abyss, especially in its magic forms."
5016,Elizabeth's Mushroom,"Large medicinal mushroom of Elizabeth, keeper of the sanctuary.  Eating this mushroom invigorates the flesh, and greatly restores HP for a limited duration.  Its dramatic effect can make the difference between a warrior's life and death."
5017,Divine Blessing,"Holy water from Goddess Gwynevere. Fully restore HP and undo irregularities.  The Goddess of Sunlight Gwynevere, daughter of the great Lord of Sunlight Gwyn, is cherished by all as the symbol of bounty and fertility."
5018,Green Blossom,"Green weed, shaped like a flower. Temporary boost to stamina recovery speed.  This uniquely bitter, biting herb is sometimes harvested in large quantities, but normally it is an annual plant found near water."
5019,Bloodred Moss Clump,"Medicinal red moss clump. Reduces bleeding build-up.  Bleeding builds up when attacked by sharp blades or spikes, and once triggered causes severe damage. Use this moss clump before it reaches this point."
5020,Purple Moss Clump,"Medicinal purple moss clump. Reduces poison build-up. Cures poison.  Poison builds up in the body, and when it breaks out, it causes gradual damage over a period of time. Poison can be exasperating, so be certain to carry the needed quantity of these moss clumps when destined for an afflicted area."
5021,Blooming Purple Moss Clump,"Potently medicinal moss clump with a flower. Reduces poison and toxin. Restores status.  Toxin is a more vicious form of poison which quickly leads to death.  Moss clumps without a flower are useless against toxin, and a lack of these moss clumps could lead to an early demise."
5022,Purging Stone,"Ash-colored stone encasing a skull. Secret treasure of Arstor, the Earl of Carim. Reduces curse build-up and breaks curse.  Humans are helpless against curses, and can only redirect their influence. The Purging Stone does not dispel curses, but receives them as a surrogate. The stone itself was once a person or some other being."
5023,Egg Vermifuge,"Bitter, sour chestnut. Removes parasitic egg from body.  The egg-bearers have chosen to serve the Flame of Chaos, and the eggs symbolize this selfless choice.  Naturally, these chestnuts are forbidden, but are allowed under special circumstances."
5024,Repair Powder,"Lightly enchanted golden powder. Repairs weapon equipped in right hand.  Use of a weapon depletes its durability, eventually rendering it ineffective.  Repair Powder is a precious method of repair on the battlefield, as it obviates the need for a Repairbox."
5025,Throwing Knife,"Throwing knife. Used as a projectile.  Throwing knives have limited range and accuracy compared to arrows, but offer a quick-and-easy ranged attack.  Undead who lack other means of ranged attacks will do well to stock a few of these."
5026,Poison Throwing Knife,"Throwing knife. Coated with poison.  Throwing knives have limited range and accuracy compared to arrows, but offer a quick-and-easy ranged attack.  When a foe is poisoned, it will continually take damage over a period of time."
5027,Firebomb,"Bisque urn filled with black powder. Explodes, inflicting fire damage.  Relatively powerful ranged weapon, especially in situations calling for fire damage. A very precious item at low levels.  Many warriors use these to augment their strategic repertoire."
5028,Dung Pie,"Atrocious fecal waste material. Throw at enemy to build up toxins, but also builds up your toxicity.  Although the stench makes it difficult to carry on one's person, turning an enemy toxic inflicts high damage over a period of time."
5029,Alluring Skull,"A skull with meekly lingering souls. Throw to shatter and spread souls to attract certain types of enemies.  Souls are a concentration of life, and the life-starved Hollows are lured by its power. Not effective for all enemies."
5030,Lloyd's Talisman,"Talisman utilized by Allfather Lloyd's cleric knights to hunt down the Undead. Blocks Estus recovery within a limited area.  In the outside world, the Undead are accursed creatures, and Lloyd's cleric knights are widely praised for their Undead hunts. This blessed talisman blocks Undead recovery, allowing the knights to fight with impunity."
5031,Black Firebomb,"Black bisque urn filled with black powder. Explodes, inflicting fire damage.  Powerful ranged weapon, especially in situations calling for fire damage. A very precious item at low levels.  Black Firebombs are especially destructive."
5032,Charcoal Pine Resin,"Black charcoal-like pine resin. Applies fire to right-hand weapon.  Affected weapon inflicts fire damage for a short time. Particularly effective against corporeal creatures and Undead, who have an instinctual fear of fire."
5033,Gold Pine Resin,"Rare pine resin which emits golden sparks. Applies lightning to right-hand weapon.  Affected weapon inflicts rare lightning damage, making it effective against targets which are resilient to both magic and fire. Very effective against dragon family foes."
5034,Transient Curse,"Limb of the victim of a curse. Temporary curse allows engagement with ghosts.  The only way to fight back against ghosts, who are cursed beings, is to become cursed oneself. The safest method, however dreadful, is to cut off an arm of the dead."
5035,Rotten Pine Resin,"Rotten pine resin that has gained poison. Adds poison effect to right-hand weapon.  Hits with affected weapon build up enemy poison level. If enemy is poisoned, damage will be inflicted for a period of time."
5036,Homeward Bone,"Bone fragment reduced to white ash. Return to last bonfire used for resting.  Bonfires are fueled by bones of the Undead. In rare cases, the strong urge of their previous owner's to seek bonfires enchants their bones with a homeward instinct."
5037,Prism Stone,"Warm pebble emitting a beautiful phasing aura of seven colors, with a very rare eighth.  The rainbow stone does nothing special, but can serve as a path marker, and can be dropped off a cliff to judge height by the sound of its descent. If a loud noise is heard upon its landing, then a fall off the ledge is surely lethal."
5038,Binoculars,"Binoculars made of brass. Use to peer at distant scenery.  This advanced device was built by a famous craftsman of Astora. Its utility is singular, but its applications many.  The value of these specs depends greatly on the imagination of their owner."
5039,Indictment,"Slip sold by bishop of Velka, Goddess of Sin. If you are killed by an invader, use this to report the crime of that trespasser.  The indicted player will be added to a list of unfortunate souls who will one day face the wrath of the Blades of the Darkmoon."
5040,Souvenir of Reprisal,"Blood-drained, shrunken ear. Souvenir taken for subduing the guilty.  The knights called the Blades of the Darkmoon punish the guilt-soaked offenders of the Gods and take this as proof of their conquest. The earless corpses of the guilty will be left behind as a warning to others, inspiring both fear and respect for the Gods. Such is the eternal mandate of the Dark Sun."
5041,Sunlight Medal,"This faintly warm medal, engraved with the symbol of the Sun, is the ultimate honor, awarded to those who summon the Warrior of Sunlight and complete a goal.  The symbol represents Lord Gwyn's firstborn, who lost his deity status and was expunged from the annals. But the old God of War still watches closely over his warriors."
5042,Pendant,"A simple pendant with no effect.  Even so, pleasant memories are crucial to survival on arduous journeys."
5043,Dragon Head Stone,"Stone imbued with the power of the dragons. Rite of apostles of the ancient dragons. Gain head of dragon. Emit dragon breath.  The dragon apostles seek transcendence of life itself, attainable by transformation into an ancient dragon. This rite is only one step, but it cannot be reversed until death."
5044,Dragon Torso Stone,"Stone imbued with the power of the dragons. Rite of apostles of the ancient dragons. Gain torso of dragon. Roar like a dragon.  The dragon apostles seek transcendence of life itself, attainable by transformation into an ancient dragon. This rite is only one step, but it cannot be reversed until death."
5045,Rubbish,Rubbish with no value. Who in their right mind would bother carrying this around? Perhaps you need help.
5046,Copper Coin,"Coin made of copper. Its face shows Old Man McLoyf, god of medicine and drink.  Even coins of great value in the world of men have little value in Lordran, where the accepted currency is souls.  Those who dream of returning to the outside world are fond of carrying these around."
5047,Silver Coin,"Coin made of silver, with a portrait of the legendary Knight King Rendal on its face.  Even coins of great value in the world of men have little value in Lordran, where the accepted currency is souls.  Those who dream of returning to the outside world are fond of carrying these around."
5048,Gold Coin,"Coin made of gold, with Allfather Lloyd and his white halo shown on its face.  Even coins of great value in the world of men have little value in Lordran, where the accepted currency is souls.  Those who dream of returning to the outside world are fond of carrying these around."
5049,Peculiar Doll,"A strange doll in strange dress.  There once was an abomination who had no place in this world. She clutched this doll tightly, and eventually was drawn into a cold and lonely painted world."
5050,Dried Finger,"Online play item. Dried finger with multiple knuckles.  Use to strengthen connection to other worlds, allowing the  summoning of a third phantom, but also a second dark spirit.  Also makes the summoning of a dark spirit occur earlier.  Use with caution."
5051,Fire Keeper Soul,"Soul of the Ash Maiden, Fire Keeper of Firelink Shrine.  A Fire Keeper's soul is a draw for humanity, and held within their bosoms, below just a thin layer of skin, are swarms of humanity that writhe and squirm. Was the Ash Maiden locked in this dark prison for some transgression, or by her own will?"
5052,Fire Keeper Soul,"Soul of the Darkmoon Knightess, Fire Keeper of Anor Londo.  A Fire Keeper's soul is a draw for humanity, and held within their bosoms, below just a thin layer of skin, are swarms of humanity that writhe and squirm. Her brass armor serves to disguise this ghastly form."
5053,Fire Keeper Soul,"Soul of a Daughter of Chaos, Fire Keeper of Quelaag's Domain.  A Fire Keeper's soul is a draw for humanity, and held within their bosoms, below just a thin layer of skin, are swarms of humanity that writhe and squirm. To her, the countless eggs which appeared were cradles for each tiny humanity. "
5054,Fire Keeper Soul,"Soul of a long-lost Fire Keeper.  Each Fire Keeper is a corporeal manifestation of her bonfire, and a draw for the humanity which is offered to her. Her soul is gnawed by infinite humanity, and can boost the power of precious Estus Flasks.  It can be used to gain Humanity and restore HP at the cost of losing the Fire Keeper soul to reinforce the Estus Flasks."
5055,Soul of a Lost Undead,"Soul of a lost Undead who has long ago gone Hollow.  Use to acquire souls.  Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
5056,Large Soul of a Lost Undead,"Large soul of a lost Undead who has long ago gone Hollow.  Use to acquire souls.  Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
5057,Soul of a Nameless Soldier,"Soul of a nameless Undead soldier who has long ago gone Hollow.  Use to acquire souls.  Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
5058,Large Soul of a Nameless Soldier,"Large soul of a nameless Undead soldier who has long ago gone Hollow.  Use to acquire many souls.  Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
5059,Soul of a Proud Knight,"Soul of a proud Undead knight who has long ago gone Hollow.  Use to acquire many souls.  Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
5060,Large Soul of a Proud Knight,"Large soul of a proud Undead knight who has long ago gone Hollow.  Use to acquire many souls.  Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
5061,Soul of a Brave Warrior,"Soul of a brave Undead warrior who has long ago gone Hollow.  Use to acquire a large amount of souls.  Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
5062,Large Soul of a Brave Warrior,"Large soul of a brave Undead warrior who has long ago gone Hollow.  Use to acquire a large amount of souls.  Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
5063,Soul of a Hero,"Soul of a hero of legend who has long ago gone Hollow.  Use to acquire a large amount of souls.  Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
5064,Soul of a Great Hero,"Great soul of a hero of legend who has long ago gone Hollow.  Use to acquire an incredible amount of souls.  Souls are the source of all life, and whether Undead, or even Hollow, one continues to seek them."
5065,Humanity,"Rare tiny black sprite found on corpses. Use to gain 1 humanity and restore a large amount of HP.  This black sprite is called humanity, but little is known about its true nature. If the soul is the source of all life, then what distinguishes the humanity we hold within ourselves?"
5066,Twin Humanities,"Rare tiny black sprite found on corpses. Very unusual twin humanity. Use to gain 2 humanity and restore a large amount of HP.  This black sprite is called humanity, but little is known about its true nature. If the soul is the source of all life, then what distinction is left for humanity?"
5067,Hello Carving,"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.  This head says ""Hello"". Have another look. Do you sense the amicability in its eyes?"
5068,Thank you Carving,"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.  This head says ""Thank you"". Have another look. Is this not a face of gratitude?"
5069,Very good! Carving,"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.  This head says ""Very good!"" Have another look. Does it not appear quite jovial?"
5070,I'm sorry Carving,"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.  This head says ""I'm sorry"". Have another look. Isn't that an expression of atonement?"
5071,Help me! Carving,"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.  This head says ""Help me!"" Look again. Can you hear the desperate plea?"
5072,Soul of Quelaag,"Soul of Quelaag, once daughter of the Witch of Izalith, but now a chaos demon.  Special beings have special souls, and Quelaag's soul contains all aspects of Chaos. Use it to acquire a huge amount of souls, or to create a unique weapon."
5073,Soul of Sif,"Soul of Sif the Great Grey Wolf, who guards the grave of Artorias the Abysswalker.  Special beings have special souls. Use the soul of Sif, who inherited the divine knightsword, to acquire a huge amount of souls, or to create a unique weapon."
5074,"Soul of Gwyn, Lord of Cinder","Soul of the Gwyn, Lord of Sunlight and Cinder, who linked the First Flame.  Lord Gwyn bequeathed most of his power to the Gods, and burned as cinder for the First Flame, but even so, Lord Gwyn's soul is a powerful thing indeed."
5075,Core of an Iron Golem,"Soul serving as the core of the Iron Golem, guardian of Sen's Fortress, and slayer of countless heroes seeking Anor Londo.  Originally a bone of an everlasting dragon. Use to acquire a huge amount of souls, or to create a unique weapon."
5076,Soul of Ornstein,"Soul of Ornstein, Dragonslayer Knight who guards the cathedral in the forsaken city of Anor Londo.  Special beings have special souls. Lord Gwyn granted this soul to his four most trusted knights.  Use to acquire a huge amount of souls, or to create a unique weapon."
5077,Soul of the Moonlight Butterfly,"Soul of the mystical Moonlight Butterfly, which flitters in the Darkroot Garden.  Special beings have special souls. The butterfly's soul is a creation of Seath the Scaleless.  Use to acquire a huge amount of souls, or to create a unique weapon."
5078,Soul of Smough,"Soul of Smough the Executioner, who guards the cathedral in the forsaken city of Anor Londo.  Special beings have special souls. Use the soul of this eerily gleeful executioner to acquire a huge amount of souls, or to create a unique weapon."
5079,Soul of Priscilla,"Soul of Priscilla the Crossbreed, trapped inside the painted world of Ariamis.  Special beings have special souls. Use the soul of this crossbreed bastard child and antithesis to all life to acquire a huge amount of souls, or to create a unique weapon."
5080,Soul of Gwyndolin,"Soul of Darkmoon Gwyndolin, god of the Dark Sun and guardian of deserted Anor Londo.  Special beings have special souls. Use the soul of Gwyn's lastborn to acquire a huge amount of souls, or to create a unique weapon."
5081,Guardian Soul,"Soul of the white winged lion sanctuary watchkeeper, who dreaded the spread of the Abyss.  The Guardian exhibited traits of several animals other than lions, suggesting that it was no ordinary beast, but rather closer to the beings known as Demons."
5082,Soul of Artorias,"Soul of Lord Gwyn's Knight Artorias, who was consumed by the Abyss.  The legend that Artorias repelled the Abyss only told half of the story.  It seems that he was defeated, and his honor preserved, by some unsung hero, who is the true victor over the Abyss."
